epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7833,1.83314,3.99783,1.31124,0.87499,0.00915,0.09046,0.04689,1.71951,3.39812,1.22076,0.000545918,0.000545918,0.000545918
2,49.2735,1.84247,2.92819,1.39331,0.7072,0.08929,0.17538,0.07468,1.96222,3.33161,1.54955,0.000992528,0.000992528,0.000992528
3,69.2225,1.89331,2.55014,1.38795,0.55701,0.41717,0.43755,0.18722,1.92658,1.89453,1.39511,0.00132912,0.00132912,0.00132912
4,90.556,1.8521,2.2346,1.38385,0.48669,0.43028,0.42473,0.176,1.9289,1.69205,1.42086,0.0011719,0.0011719,0.0011719
5,110.399,1.84786,1.95898,1.35948,0.6908,0.444,0.53369,0.24805,1.85221,1.55364,1.34992,0.00100687,0.00100687,0.00100687
6,129.861,1.74616,1.73744,1.29078,0.71697,0.48455,0.55226,0.2516,1.83654,1.46451,1.33677,0.000841835,0.000841835,0.000841835
7,149.616,1.6694,1.55866,1.27063,0.66341,0.53537,0.57598,0.27538,1.77125,1.35524,1.2971,0.000676802,0.000676802,0.000676802
8,169.018,1.62905,1.45164,1.22563,0.69159,0.5199,0.58606,0.29578,1.68441,1.37805,1.22957,0.000511769,0.000511769,0.000511769
9,187.886,1.57677,1.34533,1.20305,0.70256,0.52561,0.60771,0.30839,1.65852,1.37081,1.23265,0.000346736,0.000346736,0.000346736
10,208.548,1.53056,1.28788,1.19045,0.71174,0.55285,0.62542,0.31073,1.67535,1.22978,1.2533,0.000181703,0.000181703,0.000181703
