epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2369,1.74976,3.22349,1.28258,0.00385,0.51362,0.11689,0.06593,1.74905,3.3747,1.23727,0.000545918,0.000545918,0.000545918
2,47.7695,1.77094,2.33271,1.28884,0.56343,0.34913,0.36345,0.15416,1.89321,2.26185,1.44858,0.00108341,0.00108341,0.00108341
3,68.241,1.81842,2.15043,1.33607,0.46487,0.38348,0.36902,0.1634,1.89929,2.12036,1.41629,0.00160256,0.00160256,0.00160256
4,89.9568,1.8215,1.96384,1.33144,0.63321,0.34339,0.37648,0.17042,1.92031,2.11823,1.41139,0.00158448,0.00158448,0.00158448
5,111.046,1.80199,1.77255,1.32951,0.59735,0.36148,0.42681,0.19734,1.91011,2.00123,1.38625,0.00155698,0.00155698,0.00155698
6,131.279,1.76279,1.68706,1.32825,0.62269,0.35786,0.4347,0.19609,1.83469,2.1792,1.40922,0.00152947,0.00152947,0.00152947
7,150.692,1.73679,1.56597,1.29227,0.63419,0.39533,0.45787,0.21587,1.82746,1.69287,1.31006,0.00150197,0.00150197,0.00150197
8,170.723,1.71643,1.52849,1.28866,0.67022,0.51581,0.55928,0.25165,1.78744,1.64595,1.34177,0.00147446,0.00147446,0.00147446
9,192.202,1.68721,1.46388,1.27594,0.67923,0.49787,0.54906,0.23475,1.87838,1.56497,1.35597,0.00144696,0.00144696,0.00144696
10,213.022,1.67173,1.40713,1.26728,0.6504,0.46595,0.5265,0.23774,1.85434,1.5932,1.34305,0.00141945,0.00141945,0.00141945
11,232.929,1.65988,1.36818,1.22256,0.69136,0.40224,0.47835,0.22852,1.82887,1.68693,1.31411,0.00139195,0.00139195,0.00139195
12,252.454,1.64129,1.35673,1.24161,0.81232,0.47868,0.58405,0.28504,1.75293,1.37111,1.29101,0.00136444,0.00136444,0.00136444
13,272.045,1.64513,1.33,1.24448,0.68747,0.44441,0.523,0.24941,1.82518,1.67094,1.33465,0.00133693,0.00133693,0.00133693
14,292.829,1.61676,1.26282,1.22154,0.59793,0.55398,0.56449,0.26566,1.79851,1.39078,1.29938,0.00130943,0.00130943,0.00130943
15,313.879,1.61192,1.24256,1.21134,0.71357,0.53394,0.59655,0.28045,1.77291,1.33991,1.28386,0.00128192,0.00128192,0.00128192
16,333.357,1.5784,1.20417,1.18997,0.70217,0.50925,0.58431,0.27668,1.73303,1.43283,1.27415,0.00125442,0.00125442,0.00125442
17,353.073,1.562,1.16497,1.17836,0.7879,0.53537,0.61599,0.30184,1.75323,1.29619,1.2807,0.00122691,0.00122691,0.00122691
18,373.017,1.54129,1.14001,1.18152,0.78559,0.47764,0.60391,0.29548,1.7402,1.30762,1.25378,0.00119941,0.00119941,0.00119941
19,393.532,1.53868,1.10438,1.16647,0.72732,0.57947,0.65332,0.31018,1.7279,1.23238,1.25119,0.0011719,0.0011719,0.0011719
20,414.853,1.56827,1.15432,1.18,0.67584,0.53667,0.59263,0.29007,1.73247,1.31057,1.26859,0.0011444,0.0011444,0.0011444
21,434.839,1.50785,1.06891,1.15379,0.6704,0.54335,0.58536,0.28702,1.70808,1.32182,1.26036,0.00111689,0.00111689,0.00111689
22,454.708,1.4973,1.06882,1.14086,0.69574,0.55084,0.60555,0.28237,1.79511,1.31059,1.28663,0.00108938,0.00108938,0.00108938
23,474.314,1.49436,1.04188,1.15737,0.72066,0.54624,0.59718,0.27934,1.7485,1.34562,1.27874,0.00106188,0.00106188,0.00106188
24,494.86,1.46292,1.05181,1.13509,0.71717,0.55783,0.62714,0.3046,1.80363,1.22361,1.2833,0.00103437,0.00103437,0.00103437
25,516.511,1.45648,1.03144,1.14622,0.68446,0.54085,0.60585,0.29342,1.71369,1.22609,1.23648,0.00100687,0.00100687,0.00100687
26,536.41,1.46861,1.00463,1.12428,0.78593,0.54004,0.63468,0.30157,1.76765,1.19496,1.29885,0.000979362,0.000979362,0.000979362
27,556.332,1.45644,0.98962,1.1251,0.72067,0.55701,0.62908,0.31762,1.7349,1.23689,1.28691,0.000951857,0.000951857,0.000951857
28,576.162,1.41635,0.98487,1.10655,0.76443,0.54191,0.62699,0.3019,1.68415,1.21367,1.24187,0.000924352,0.000924352,0.000924352
29,597.474,1.39769,0.94937,1.09979,0.76887,0.54624,0.6293,0.30512,1.71466,1.23129,1.26017,0.000896846,0.000896846,0.000896846
30,618.507,1.39864,0.94875,1.11082,0.68558,0.62388,0.6511,0.30491,1.74716,1.24252,1.26972,0.00086934,0.00086934,0.00086934
31,638.707,1.41044,0.90661,1.10567,0.80298,0.56037,0.64949,0.3166,1.68559,1.26417,1.22551,0.000841835,0.000841835,0.000841835
32,659.122,1.38499,0.89863,1.08811,0.7865,0.54675,0.64994,0.31881,1.68061,1.21553,1.23499,0.000814329,0.000814329,0.000814329
33,678.819,1.36346,0.88809,1.07722,0.68197,0.59614,0.6535,0.31766,1.70061,1.13884,1.25017,0.000786824,0.000786824,0.000786824
34,699.97,1.33807,0.8547,1.07565,0.7639,0.60061,0.65403,0.31846,1.75552,1.16427,1.26321,0.000759318,0.000759318,0.000759318
35,721.134,1.36925,0.84715,1.07843,0.75864,0.55568,0.63488,0.31153,1.72722,1.12758,1.27688,0.000731813,0.000731813,0.000731813
36,741.055,1.33365,0.84424,1.06666,0.76702,0.53852,0.62451,0.31973,1.67526,1.27485,1.24993,0.000704307,0.000704307,0.000704307
37,761.012,1.32243,0.84615,1.0613,0.7839,0.59583,0.64135,0.32558,1.68374,1.14068,1.25532,0.000676802,0.000676802,0.000676802
38,780.711,1.30737,0.82146,1.05348,0.73524,0.62388,0.66025,0.32267,1.70742,1.10646,1.26986,0.000649297,0.000649297,0.000649297
39,801.642,1.33095,0.83598,1.06477,0.74362,0.56768,0.64498,0.32428,1.72377,1.19734,1.24322,0.000621791,0.000621791,0.000621791
40,822.375,1.29048,0.81207,1.05236,0.72081,0.62123,0.6704,0.34106,1.6366,1.13603,1.22173,0.000594286,0.000594286,0.000594286
41,841.67,1.26305,0.77483,1.03615,0.73662,0.56292,0.63882,0.3204,1.73016,1.19129,1.26594,0.00056678,0.00056678,0.00056678
42,861.352,1.27402,0.77262,1.03505,0.80172,0.58201,0.67299,0.33295,1.73193,1.12169,1.26219,0.000539275,0.000539275,0.000539275
43,882.002,1.26295,0.79105,1.03721,0.76306,0.5879,0.65644,0.33606,1.64639,1.18467,1.23911,0.000511769,0.000511769,0.000511769
44,910.725,1.25836,0.76504,1.02918,0.8217,0.59846,0.6846,0.3402,1.67059,1.08326,1.23244,0.000484263,0.000484263,0.000484263
45,937.413,1.22417,0.74058,1.02049,0.82655,0.55203,0.66505,0.32818,1.69397,1.17065,1.23997,0.000456758,0.000456758,0.000456758
46,964.2,1.26786,0.74744,1.03477,0.8059,0.56646,0.67134,0.33174,1.70641,1.10956,1.26529,0.000429253,0.000429253,0.000429253
47,990.626,1.2004,0.73309,1.02744,0.85634,0.56565,0.70067,0.35085,1.6856,1.1522,1.24192,0.000401747,0.000401747,0.000401747
48,1012.42,1.18269,0.71297,1.01144,0.717,0.64421,0.68328,0.33114,1.71994,1.15888,1.25515,0.000374242,0.000374242,0.000374242
49,1032.8,1.19749,0.71518,1.01437,0.83429,0.59756,0.68568,0.35044,1.68592,1.11991,1.24329,0.000346736,0.000346736,0.000346736
50,1052.21,1.20576,0.72517,1.02289,0.78272,0.57368,0.66245,0.33288,1.68352,1.14135,1.23118,0.000319231,0.000319231,0.000319231
51,1073.12,1.19544,0.69146,1.0111,0.76825,0.59116,0.67208,0.3333,1.67982,1.12104,1.24579,0.000291725,0.000291725,0.000291725
52,1093.43,1.14866,0.63658,0.98437,0.79074,0.59748,0.68334,0.33938,1.67757,1.06307,1.25281,0.00026422,0.00026422,0.00026422
53,1114.2,1.12591,0.6188,0.97267,0.77861,0.61474,0.68721,0.34574,1.69117,1.06744,1.24632,0.000236714,0.000236714,0.000236714
54,1134.24,1.10898,0.60728,0.97097,0.77242,0.6003,0.68231,0.34915,1.68791,1.06947,1.2456,0.000209209,0.000209209,0.000209209
