epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,268.587,1.63961,1.30648,1.22735,0.69035,0.46159,0.50289,0.25224,1.77786,1.68399,1.28906,0.0011719,0.0011719,0.0011719
14,288.004,1.60409,1.22466,1.19311,0.67065,0.52429,0.57556,0.28024,1.76376,1.45064,1.26518,0.00113064,0.00113064,0.00113064
15,307.979,1.60277,1.21308,1.19212,0.72698,0.51291,0.5849,0.26487,1.78409,1.37317,1.29587,0.00108938,0.00108938,0.00108938
16,327.535,1.55892,1.1541,1.16818,0.74074,0.54205,0.61527,0.27188,1.85039,1.36787,1.3377,0.00104813,0.00104813,0.00104813
17,348.451,1.55501,1.14488,1.17924,0.71033,0.5678,0.63066,0.30895,1.78909,1.28043,1.3199,0.00100687,0.00100687,0.00100687
18,368.767,1.53501,1.09954,1.16894,0.6567,0.54487,0.58492,0.27616,1.78159,1.429,1.3084,0.00096561,0.00096561,0.00096561
19,388.552,1.50655,1.07502,1.1437,0.79673,0.55285,0.64733,0.32239,1.75837,1.20621,1.26175,0.000924352,0.000924352,0.000924352
20,408.411,1.51846,1.08196,1.15088,0.7104,0.59296,0.6233,0.30039,1.80092,1.21567,1.30251,0.000883093,0.000883093,0.000883093
21,427.932,1.49082,1.0235,1.1446,0.75858,0.55864,0.64469,0.32541,1.69799,1.13712,1.2273,0.000841835,0.000841835,0.000841835
22,449.164,1.44419,0.97085,1.11061,0.80558,0.58171,0.68339,0.33031,1.75715,1.13658,1.24645,0.000800577,0.000800577,0.000800577
23,469.758,1.4364,0.97697,1.12193,0.79945,0.57033,0.65043,0.31358,1.72662,1.19147,1.24182,0.000759318,0.000759318,0.000759318
24,488.805,1.4234,0.97725,1.10762,0.74257,0.58222,0.66391,0.32187,1.77366,1.13929,1.29592,0.00071806,0.00071806,0.00071806
25,507.887,1.41758,0.96797,1.11796,0.78553,0.5652,0.64814,0.31967,1.69834,1.13773,1.2305,0.000676802,0.000676802,0.000676802
26,528.128,1.39728,0.94262,1.09036,0.80979,0.55203,0.64924,0.31233,1.7554,1.18665,1.28464,0.000635544,0.000635544,0.000635544
27,549.768,1.38891,0.90964,1.09769,0.71974,0.61466,0.67398,0.32434,1.75808,1.09908,1.25193,0.000594286,0.000594286,0.000594286
28,569.86,1.34575,0.89155,1.07331,0.74752,0.57368,0.6578,0.3288,1.71575,1.20078,1.23034,0.000553027,0.000553027,0.000553027
29,589.703,1.33856,0.86093,1.06841,0.86296,0.56726,0.68846,0.33247,1.73554,1.1051,1.26217,0.000511769,0.000511769,0.000511769
30,608.964,1.33226,0.85708,1.07397,0.83042,0.55589,0.65892,0.32292,1.70697,1.20208,1.23304,0.000470511,0.000470511,0.000470511
31,631.457,1.33663,0.84983,1.06356,0.76344,0.59753,0.66566,0.32524,1.723,1.13509,1.24535,0.000429253,0.000429253,0.000429253
32,651.285,1.29173,0.78821,1.05295,0.73829,0.6061,0.64894,0.30313,1.7396,1.18654,1.24694,0.000387994,0.000387994,0.000387994
33,670.645,1.26652,0.74969,1.03863,0.77117,0.61715,0.68774,0.32553,1.74947,1.0759,1.23316,0.000346736,0.000346736,0.000346736
34,690.076,1.25022,0.72573,1.02443,0.80655,0.57337,0.67923,0.33402,1.71925,1.09281,1.23001,0.000305478,0.000305478,0.000305478
35,709.344,1.23054,0.72516,1.01618,0.82275,0.57642,0.67711,0.33703,1.69517,1.08726,1.20826,0.00026422,0.00026422,0.00026422
36,728.185,1.22877,0.69955,1.01189,0.80349,0.59309,0.66151,0.31988,1.75823,1.15561,1.25247,0.000222961,0.000222961,0.000222961
37,748.712,1.19224,0.68852,1.00204,0.81427,0.58157,0.68248,0.33004,1.73039,1.14201,1.24532,0.000181703,0.000181703,0.000181703
38,769.16,1.18666,0.66988,0.99832,0.83513,0.60833,0.70317,0.34201,1.73489,1.06417,1.24663,0.000140445,0.000140445,0.000140445
39,788.473,1.19536,0.66289,0.99931,0.84636,0.56423,0.6934,0.3462,1.69505,1.07872,1.20705,9.91865e-05,9.91865e-05,9.91865e-05
40,807.437,1.16463,0.65339,0.98506,0.81581,0.58587,0.69291,0.34356,1.67846,1.07344,1.192,5.79283e-05,5.79283e-05,5.79283e-05
