epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.694,1.74976,3.22349,1.28258,0.00385,0.51362,0.11689,0.06593,1.74905,3.3747,1.23727,0.000545918,0.000545918,0.000545918
2,45.2148,1.76253,2.3269,1.28374,0.56007,0.23659,0.28925,0.12764,1.94911,2.55356,1.49611,0.00107432,0.00107432,0.00107432
3,67.3473,1.807,2.16163,1.33387,0.63397,0.34756,0.40881,0.18105,1.91306,2.02196,1.40168,0.00157522,0.00157522,0.00157522
4,87.2699,1.81293,1.97244,1.35122,0.53758,0.31657,0.3966,0.17628,1.93694,2.10099,1.37585,0.00154323,0.00154323,0.00154323
5,106.812,1.80566,1.81367,1.32693,0.78182,0.32702,0.43708,0.19847,1.88768,1.85479,1.35664,0.00150197,0.00150197,0.00150197
6,126.569,1.76265,1.69464,1.30155,0.64406,0.48313,0.50936,0.22904,1.88317,1.55786,1.32883,0.00146071,0.00146071,0.00146071
7,147.957,1.74435,1.55022,1.28133,0.59764,0.46413,0.51433,0.21807,1.91643,1.58602,1.37638,0.00141945,0.00141945,0.00141945
8,167.954,1.68944,1.48599,1.26069,0.6207,0.4876,0.51393,0.2348,1.8463,1.55312,1.35267,0.00137819,0.00137819,0.00137819
9,187.209,1.67255,1.45034,1.25673,0.64759,0.52957,0.55209,0.25956,1.81869,1.49445,1.29781,0.00133693,0.00133693,0.00133693
10,207.122,1.68307,1.41106,1.25915,0.60318,0.44199,0.47964,0.22306,1.78443,1.64069,1.27184,0.00129568,0.00129568,0.00129568
11,226.892,1.61895,1.33277,1.19266,0.65968,0.47988,0.56507,0.2659,1.78854,1.4025,1.31611,0.00125442,0.00125442,0.00125442
12,248.448,1.62532,1.30814,1.22542,0.75476,0.50921,0.60292,0.28854,1.74857,1.34366,1.27815,0.00121316,0.00121316,0.00121316
